species,panth_bodymass_g,mean_long,Diet,logage,logmass,diet.new
Abrocoma_bennettii,250.5,27.6,?,3.3178157727231046,5.523458920524919,NA
Acinonyx_jubatus,50577.92,237,?,5.4680601411351315,10.831270396404877,NA
Acomys_cahirinus,41.16,65.4,Omnivore,4.180522258463153,3.717466910965849,Omnivore
Acomys_cilicicus,NA,48,?,3.871201010907891,NA,NA
Acomys_wilsoni,18.5,67.2,?,4.207673247529104,2.917770732084279,NA
Acrobates_pygmaeus,13.84,96,Omnivore,4.564348191467836,2.6275629501895237,Omnivore
Addax_nasomaculatus,96077.36,322.02,Herbivore,5.774613655416792,11.472908979273948,Herbivore
Aepyceros_melampus,52591.69,260.1,Herbivore,5.5610661724546055,10.870313401454014,Herbivore
Aepyprymnus_rufescens,2810.31,124.8,Herbivore,4.826712455935327,7.941050076527654,Herbivore
Ailuropoda_melanoleuca,117999.99,400.8,Omnivore,5.993462549770655,11.678439818702035,Omnivore
Ailurus_fulgens,5170.08,198,Omnivore,5.288267030694535,8.55064344127057,Omnivore
Alcelaphus_buselaphus,160937.86,255,Herbivore,5.541263545158426,11.988773606730895,Herbivore
Allactaga_elater,59,62.4,Omnivore,4.133565275375382,4.07753744390572,Omnivore
Allactaga_euphratica,232,50.4,Omnivore,3.919991175077323,5.44673737166631,Omnivore
Allactaga_major,NA,84,?,4.430816798843313,NA,NA
Allactaga_sibirica,NA,54,?,3.9889840465642745,NA,NA
Allenopithecus_nigroviridis,4749.96,300,Omnivore,5.703782474656201,8.465891475940598,Omnivore
Alouatta_caraya,5576.96,316.2,Herbivore,5.756374924775372,8.626399104048968,Herbivore
Alouatta_palliata,6576.99,294,Herbivore,5.683579767338681,8.791332472850142,Herbivore
Alouatta_seniculus,6398.31,300,Herbivore,5.703782474656201,8.763789171977123,Herbivore
Alticola_semicanus,NA,45.6,?,3.8199077165203406,NA,NA
Ammospermophilus_harrisii,126.57,127.2,Herbivore,4.845760650906022,4.840795514804357,Herbivore
Ammospermophilus_leucurus,103.92,102,Omnivore,4.624972813284271,4.643621372362344,Omnivore
Ammotragus_lervia,94202.22,256.2,Herbivore,5.545958389462633,11.453199027165741,Herbivore
Anoura_geoffroyi,15.15,120,Carnivore,4.787491742782046,2.7180005319553784,Carnivore
Antechinomys_laniger,25.57,40.8,Carnivore,3.708682081410116,3.2414197893030954,Carnivore
Antechinus_bellus,38.73,34.2,Carnivore,3.5322256440685598,3.6566144935266607,Carnivore
Antechinus_flavipes,44.33,44.4,Carnivore,3.7932394694381792,3.7916616487569623,Carnivore
Antechinus_stuartii,29.01,50.4,Omnivore,3.919991175077323,3.367640598133313,Omnivore
Antechinus_swainsonii,58.69,31.8,Omnivore,3.459466289786131,4.072269354570243,Omnivore
Antidorcas_marsupialis,33571.24,238.8,Herbivore,5.475626381518447,10.42142502703393,Herbivore
Antilocapra_americana,47450.01,174,Herbivore,5.159055299214529,10.767432014786207,Herbivore
Antilope_cervicapra,36301.1,264.9,Herbivore,5.579352396278024,10.499603322824118,Herbivore
Antrozous_pallidus,22.24,143.4,Carnivore,4.96563792816552,3.1018924693823817,Carnivore
