binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Abramis brama,Chordata,Teleostei,Cypriniformes,Leuciscidae,Abramis,Bream,NA,NA,NA,NA,2007,1825,23,276,NA,NA,acceptable,3305.5,276,NA,NA,NA,276,NA,Abramis_brama
Abrocoma bennettii,Chordata,Mammalia,Rodentia,Abrocomidae,Abrocoma,Bennett's chinchilla rat,250.5,NA,27.6,NA,NA,NA,2.3,27.6,NA,NA,acceptable,265.5,27.6,NA,NA,NA,27.6,NOC,Abrocoma_bennettii
Abrothrix olivaceus,Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,NA,24.52,27,12,170.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.2745,NA,12,NA,Abrothrix_olivaceus
Acanthagenys rufogularis,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,Spiny-cheeked honeyeater,NA,NA,NA,NA,NA,NA,13.6,163.2,NA,NA,acceptable,NA,NA,46.7,NA,NA,163.2,NA,Acanthagenys_rufogularis
Acantharchus pomotis,Chordata,Actinopterygii,Perciformes,Centrarchidae,Acantharchus,Mud sunfish,NA,NA,NA,NA,NA,NA,8,96,NA,NA,questionable,NA,96,NA,NA,NA,96,NA,Acantharchus_pomotis
Acanthis flammea,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Common redpoll,NA,NA,NA,NA,365,365,12.2,146.4,0.2888,14,acceptable,14.2,146.4,NA,NA,NA,146.4,NA,Acanthis_flammea
Acanthis hornemanni,Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Hoary redpoll,NA,NA,NA,NA,365,365,6.8,81.6,NA,NA,acceptable,19.25,81.6,NA,NA,NA,81.6,NA,Acanthis_hornemanni
Acanthiza chrysorrhoa,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Yellow-rumped thornbill,NA,NA,NA,NA,NA,NA,13.1,157.2,NA,NA,acceptable,NA,NA,8.7,NA,NA,157.2,NA,Acanthiza_chrysorrhoa
Acanthiza ewingii,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Tasmanian thornbill,NA,NA,NA,NA,NA,NA,7.7,92.4,NA,NA,acceptable,NA,NA,7,NA,0.65268,92.4,NA,Acanthiza_ewingii
Acanthiza inornata,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Western thornbill,NA,NA,NA,NA,NA,NA,8.9,106.8,NA,NA,acceptable,NA,NA,7,NA,0.45584,106.8,NA,Acanthiza_inornata
Acanthiza katherina,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Mountain thornbill,NA,NA,NA,NA,NA,NA,15,180,NA,NA,acceptable,NA,NA,NA,NA,NA,180,NA,Acanthiza_katherina
Acanthiza lineata,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Striated thornbill,NA,NA,NA,NA,NA,NA,23.5,282,NA,NA,acceptable,NA,NA,7.3,NA,NA,282,NA,Acanthiza_lineata
Acanthiza nana,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Yellow thornbill,NA,NA,NA,NA,NA,NA,13.8,165.6,NA,NA,acceptable,NA,NA,6.5,NA,0.37296,165.6,NA,Acanthiza_nana
Acanthiza pusilla,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Brown thornbill,NA,NA,NA,NA,NA,NA,17.6,211.2,NA,NA,acceptable,NA,NA,6.9,NA,NA,211.2,NA,Acanthiza_pusilla
Acanthiza reguloides,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Buff-rumped thornbill,NA,NA,NA,NA,NA,NA,9.5,114,NA,NA,acceptable,NA,NA,7.4,NA,0.40404,114,DIU,Acanthiza_reguloides
Acanthiza uropygialis,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Chestnut-rumped thornbill,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,NA,NA,6.3,NA,NA,84,NA,Acanthiza_uropygialis
Acanthocercus atricollis,Chordata,Reptilia,Squamata,Agamidae,Acanthocercus,"Black-necked agama, or Plains agama",NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,81.495,72,NA,NA,NA,72,NA,Acanthocercus_atricollis
Acanthoclinus fuscus,Chordata,Actinopterygii,Perciformes,Plesiopidae,Acanthoclinus,Taumaka,NA,NA,NA,NA,NA,NA,9,108,NA,NA,acceptable,NA,108,NA,NA,NA,108,NA,Acanthoclinus_fuscus
Acanthopagrus australis,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Surf bream,NA,NA,NA,NA,NA,NA,12,144,NA,NA,acceptable,2475,144,NA,NA,NA,144,NA,Acanthopagrus_australis
Acanthopagrus butcheri,Chordata,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Southern black bream,NA,NA,NA,NA,912,912,29,348,NA,NA,acceptable,2200,348,NA,NA,NA,348,NA,Acanthopagrus_butcheri
Acanthophis antarcticus,Chordata,Reptilia,Squamata,Elapidae,Acanthophis,Common death adder,NA,NA,NA,NA,NA,NA,9.3,111.6,NA,NA,acceptable,384,111.6,NA,NA,NA,111.6,NOC,Acanthophis_antarcticus
Acanthorhynchus superciliosus,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Western spinebill,NA,NA,NA,NA,NA,NA,10.7,128.4,NA,NA,acceptable,NA,NA,NA,NA,NA,128.4,NA,Acanthorhynchus_superciliosus
Acanthorhynchus tenuirostris,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Eastern spinebill,NA,NA,NA,NA,NA,NA,15.5,186,NA,NA,acceptable,NA,NA,10.66666667,NA,NA,186,NA,Acanthorhynchus_tenuirostris
Accipiter cooperii,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Cooper's hawk,NA,NA,NA,NA,730,730,20.3,243.6,NA,NA,acceptable,526.64,243.6,NA,NA,NA,243.6,NA,Accipiter_cooperii
Accipiter fasciatus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Brown goshawk,NA,NA,NA,NA,NA,NA,14.9,178.8,NA,NA,acceptable,NA,NA,403,NA,4.662,178.8,NA,Accipiter_fasciatus
Accipiter gentilis,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Northern goshawk,NA,NA,NA,NA,365,730,22,264,NA,NA,acceptable,1044.2,264,NA,NA,NA,264,DIU,Accipiter_gentilis
Accipiter nisus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Eurasian sparrowhawk,NA,NA,NA,NA,365,365,20.2,242.4,0.9516,135,acceptable,237.5,242.4,NA,NA,NA,242.4,NA,Accipiter_nisus
Accipiter striatus,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Sharp-shinned hawk,NA,NA,NA,NA,365,365,19.9,238.8,NA,NA,acceptable,135,238.8,520,NA,5.7,238.8,NA,Accipiter_striatus
Acinonyx jubatus,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Cheetah,50577.92,48900,228,741.97,456,456,20.5,246,61.77,38446.1,high,53500,246,31510,NA,NA,237,NA,Acinonyx_jubatus
Acipenser brevirostrum,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Shortnose sturgeon,NA,NA,NA,NA,5657,NA,67,804,NA,NA,acceptable,NA,NA,NA,NA,NA,804,NA,Acipenser_brevirostrum
Acipenser dabryanus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Yangtze sturgeon,NA,NA,NA,NA,NA,NA,100,1200,NA,NA,acceptable,NA,NA,NA,NA,NA,1200,NA,Acipenser_dabryanus
Acipenser fulvescens,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Lake sturgeon,NA,NA,NA,NA,9490,2920,152,1824,NA,NA,acceptable,NA,NA,NA,NA,NA,1824,NA,Acipenser_fulvescens
Acipenser gueldenstaedtii,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Russian sturgeon,NA,NA,NA,NA,5110,4380,46,552,NA,NA,acceptable,NA,NA,NA,NA,NA,552,NA,Acipenser_gueldenstaedtii
Acipenser oxyrinchus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Atlantic sturgeon,NA,NA,NA,NA,NA,NA,60,720,NA,NA,acceptable,NA,NA,NA,NA,NA,720,NA,Acipenser_oxyrinchus
Acipenser ruthenus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Sterlet,NA,NA,NA,NA,2129,1460,46.1,553.2,NA,NA,acceptable,NA,NA,NA,NA,NA,553.2,NA,Acipenser_ruthenus
Acipenser schrenckii,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Amur sturgeon,NA,NA,NA,NA,4562,3285,60,720,NA,NA,acceptable,NA,NA,NA,NA,NA,720,NA,Acipenser_schrenckii
Acipenser stellatus,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,Star sturgeon,NA,NA,NA,NA,3285,2190,27,324,NA,NA,acceptable,NA,NA,NA,NA,NA,324,NA,Acipenser_stellatus
Acipenser sturio,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,European sturgeon,NA,NA,NA,NA,4608,3467,100,1200,NA,NA,acceptable,NA,NA,NA,NA,NA,1200,NA,Acipenser_sturio
