species logage
Tachyglossus_aculeatus 6.391917
Ornithorhynchus_anatinus 5.589493
Monodelphis_adusta 3.895894
Monodelphis_brevicaudata 3.380995
Monodelphis_domestica 4.198705
Monodelphis_dimidiata 2.484907
Marmosa_murina 3.765840
Marmosa_mexicana 4.430817
Marmosa_robinsoni 3.737670
Marmosops_noctivagus 3.988984
Gracilinanus_agilis 4.293195
Metachirus_nudicaudatus 3.737670
Lutreolina_crassicaudata 3.566712
Didelphis_virginiana 4.242765
Didelphis_marsupialis 3.723281
Didelphis_aurita 3.871201
Didelphis_albiventris 3.015535
Philander_mcilhennyi 3.317816
Philander_opossum 3.858622
Chironectes_minimus 3.600048
Caluromysiops_irrupta 4.543295
Caluromys_philander 4.515245
Caluromys_lanatus 4.094345
Caluromys_derbianus 4.409155
Dromiciops_gliroides 3.648057
Notoryctes_typhlops 2.890372
Macrotis_lagotis 4.767289
Isoodon_macrourus 4.074142
Isoodon_obesulus 4.119037
Isoodon_auratus 4.387014
Perameles_bougainville 4.242765
Perameles_nasuta 4.207673
Perameles_gunnii 4.242765
Peroryctes_raffrayana 3.663562
Echymipera_rufescens 3.583519
Myrmecobius_fasciatus 4.624973
Thylacinus_cynocephalus 5.049856
Pseudantechinus_woolleyae 3.871201
Pseudantechinus_macdonnellensis 4.094345
Pseudantechinus_bilarni 3.583519
Dasyurus_hallucatus 3.966511
Sarcophilus_harrisii 4.845761
Dasyurus_maculatus 4.259859
Dasyurus_viverrinus 4.401829
Dasyurus_geoffroii 4.207673
Dasyurus_albopunctatus 3.583519
Parantechinus_apicalis 3.931826
Pseudantechinus_ningbing 3.178054
Dasyuroides_byrnei 4.499810
Dasykaluta_rosamondae 3.583519
Dasycercus_cristicauda 4.458988
Phascogale_tapoatafa 4.180522
Phascogale_calura 3.832980
Antechinus_agilis 4.032469
Antechinus_leo 3.178054
Antechinus_bellus 3.532226
Antechinus_flavipes 3.793239
Antechinus_minimus 3.178054
Antechinus_swainsonii 3.459466
Antechinus_stuartii 3.919991
Planigale_maculata 4.074142
Planigale_ingrami 2.747271
Planigale_tenuirostris 3.895894
Planigale_gilesi 4.094345
Ningaui_timealeyi 3.178054
Ningaui_ridei 3.178054
Sminthopsis_crassicaudata 4.021774
Sminthopsis_virginiae 3.779634
Sminthopsis_macroura 4.074142
Sminthopsis_longicaudata 4.094345
Sminthopsis_leucopus 3.401197
Sminthopsis_dolichura 3.638638
Sminthopsis_murina 3.178054
Sminthopsis_griseoventer 3.765840
Sminthopsis_psammophila 4.094345
Sminthopsis_ooldea 3.583519
Sminthopsis_youngsoni 4.152613
Antechinomys_laniger 3.708682
Phascolarctos_cinereus 5.531807
Vombatus_ursinus 5.818895
Lasiorhinus_latifrons 5.788124
Lasiorhinus_krefftii 5.886104
Cercartetus_nanus 4.698661
Cercartetus_caudatus 3.648057
Burramys_parvus 4.969813
Wyulda_squamicaudata 4.276666
Trichosurus_vulpecula 5.212759
Trichosurus_caninus 5.318120
Spilocuscus_maculatus 5.123964
Phalanger_gymnotis 5.222516
Phalanger_orientalis 3.871201
Hypsiprymnodon_moschatus 4.276666
Lagostrophus_fasciatus 3.871201
Dendrolagus_bennettianus 5.480639
Dendrolagus_dorianus 5.087596
Dendrolagus_ursinus 5.485626
Dendrolagus_goodfellowi 5.589493
Dendrolagus_matschiei 5.718343
Petrogale_xanthopus 5.065123
Petrogale_penicillata 5.148657
Petrogale_assimilis 5.049856
Petrogale_lateralis 4.969813
Petrogale_concinna 5.148657
Petrogale_brachyotis 4.797442
Thylogale_thetis 4.682131
Thylogale_stigmatica 4.757033
Thylogale_brunii 4.725616
Thylogale_billardierii 4.725616
Dorcopsis_atrata 4.564348
Dorcopsis_muelleri 4.787492
Dorcopsis_luctuosa 4.878246
Dorcopsulus_macleayi 4.551769
Setonix_brachyurus 5.042134
Lagorchestes_hirsutus 4.845761
Lagorchestes_conspicillatus 4.486387
Macropus_rufus 5.799093
Macropus_antilopinus 5.369707
Macropus_robustus 5.620401
Wallabia_bicolor 5.251226
Macropus_bernardus 4.953006
Macropus_parma 5.046002
Macropus_parryi 5.123964
Macropus_rufogriseus 5.323985
Macropus_eugenii 5.162498
Macropus_agilis 5.155601
Macropus_dorsalis 5.192957
Macropus_fuliginosus 5.557600
Macropus_giganteus 5.683580
Onychogalea_fraenata 4.309456
Dendrolagus_inustus 5.571393
Onychogalea_unguifera 4.189655
Bettongia_lesueur 4.787492
Bettongia_gaimardi 4.953006
Bettongia_penicillata 5.002603
Bettongia_tropica 4.430817
Caloprymnus_campestris 5.049856
Aepyprymnus_rufescens 4.826712
Potorous_longipes 5.022564
Potorous_tridactylus 5.068904
Tarsipes_rostratus 3.178054
Pseudocheirus_peregrinus 4.687671
Petauroides_volans 5.192957
Hemibelideus_lemuroides 4.032469
Petaurus_breviceps 5.251226
Petaurus_australis 5.225747
Petaurus_norfolcensis 5.080161
Gymnobelideus_leadbeateri 5.014627
Dactylopsila_trivirgata 4.745801
Distoechurus_pennatus 3.178054
Acrobates_pygmaeus 4.564348
Trichechus_manatus 6.386879
Trichechus_inunguis 6.040255
Dugong_dugon 6.754604
Loxodonta_africana 6.768493
Elephas_maximus 6.864430
Procavia_capensis 5.152135
Heterohyrax_brucei 5.123964
Dendrohyrax_arboreus 5.046002
Dendrohyrax_dorsalis 4.787492
Orycteropus_afer 5.777033
Rhynchocyon_chrysopygus 4.499810
Elephantulus_myurus 2.580217
Elephantulus_rozeti 4.114147
Macroscelides_proboscideus 4.648230
Elephantulus_intufi 4.687671
Elephantulus_rufescens 4.423648
Microgale_dobsoni 4.207673
Microgale_talazaci 4.245634
Tenrec_ecaudatus 4.499810
Hemicentetes_semispinosus 3.478158
Hemicentetes_nigriceps 3.440418
Setifer_setosus 4.994506
Echinops_telfairi 5.257495
Chrysospalax_trevelyani 3.871201
Amblysomus_hottentotus 2.484907
Eremitalpa_granti 3.178054
Dasypus_novemcinctus 5.410753
Dasypus_septemcinctus 5.306286
Zaedyus_pichiy 4.859812
Euphractus_sexcinctus 5.503623
Chaetophractus_vellerosus 5.269918
Chaetophractus_villosus 5.602857
Calyptophractus_retusus 4.969813
Tolypeutes_matacus 6.090404
Priodontes_maximus 5.192957
Tamandua_tetradactyla 5.123964
Tamandua_mexicana 5.030438
Myrmecophaga_tridactyla 5.834811
Cyclopes_didactylus 3.317816
Choloepus_hoffmanni 6.083588
Choloepus_didactylus 5.959974
Bradypus_torquatus 4.969813
Solenodon_paradoxus 4.945919
Solenodon_cubanus 4.356709
Galemys_pyrenaicus 4.094345
Parascalops_breweri 4.094345
Scapanus_orarius 3.583519
Scapanus_latimanus 3.583519
Scalopus_aquaticus 4.309456
Euroscaptor_micrura 3.583519
Mogera_imaizumii 3.737670
Mogera_wogura 3.693867
Euroscaptor_mizura 3.583519
Talpa_europaea 4.430817
Urotrichus_talpoides 3.737670
Condylura_cristata 3.496508
Blarina_hylophaga 3.514526
Blarina_brevicauda 3.391147
Cryptotis_parva 3.449988
Sorex_ornatus 2.833213
Sorex_vagrans 3.218876
Sorex_palustris 2.890372
Sorex_monticolus 2.772589
Sorex_fumeus 2.740840
Sorex_cinereus 3.135494
Sorex_trowbridgii 2.890372
Sorex_alpinus 2.747271
Sorex_minutus 3.178054
Sorex_unguiculatus 2.890372
Sorex_caecutiens 3.401197
Sorex_araneus 3.440418
Sorex_coronatus 2.602690
Sorex_arcticus 2.890372
Neomys_fodiens 3.600048
Neomys_anomalus 3.178054
Notiosorex_crawfordi 2.708050
Myosorex_varius 2.923162
Suncus_murinus 3.532226
Crocidura_flavescens 3.273364
Crocidura_russula 3.765840
Crocidura_suaveolens 3.496508
Crocidura_leucodon 3.566712
Suncus_etruscus 3.566712
Echinosorex_gymnura 4.430817
Erinaceus_concolor 4.430817
Erinaceus_europaeus 5.038250
Erinaceus_amurensis 4.564348
Paraechinus_aethiopicus 4.171306
Paraechinus_hypomelas 4.430817
Hemiechinus_auritus 4.458988
Atelerix_algirus 4.430817
Atelerix_albiventris 4.918520
Macroderma_gigas 5.602857
Megaderma_lyra 5.123964
Rhinolophus_hipposideros 5.711751
Rhinolophus_ferrumequinum 5.894403
Rhinolophus_euryale 5.049856
Rhinolophus_rouxii 4.094345
Hipposideros_fulvus 5.010635
Eonycteris_spelaea 4.094345
Rousettus_leschenaultii 5.123964
Rousettus_aegyptiacus 5.616044
Epomophorus_gambianus 4.539030
Epomophorus_wahlbergi 4.797442
Rousettus_lanosus 5.413430
Dobsonia_moluccensis 4.994506
Eidolon_helvum 5.567562
Eidolon_dupreanum 5.480639
Pteropus_pselaphon 5.300315
Pteropus_scapulatus 5.244917
Pteropus_poliocephalus 5.646153
Pteropus_vampyrus 5.524656
Pteropus_rodricensis 5.852202
Pteropus_niger 5.450180
Pteropus_lylei 5.500442
Pteropus_giganteus 6.114567
Pteropus_pumilus 5.329816
Pteropus_dasymallus 5.799093
Pteropus_livingstonii 5.192957
Pteropus_alecto 5.495528
Pteropus_hypomelanus 5.495528
Haplonycteris_fischeri 4.787492
Ptenochirus_jagori 4.564348
Cynopterus_brachyotis 4.687671
Cynopterus_sphinx 4.787492
Mystacina_tuberculata 4.513055
Noctilio_leporinus 4.953006
Desmodus_rotundus 5.677438
Diphylla_ecaudata 4.564348
Anoura_geoffroyi 4.787492
