phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,versicolor,,1,0.01315,,,,,,,,,4.23E-05
Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,triseriata,,3,0.0001,,,,,,,,,2.26E-06
Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,crepitans,,3,0.0003,,,,,,,,,4.43E-06
Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis,Platymantis vitiensis,vitiensis,,1,0.0003,,,,,,,,,4.93E-06
Chordata,Amphibia,Anura,Ranidae,Rana,Rana sylvatica,sylvatica,,3,0.00037,,,,,,,,,8.57E-06
Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,pipiens,,3,0.0011,,,,,,,,,2.04E-05
Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,clamitans,,3,0.00362,,,,,,,,,3.92E-05
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,laevis,,1,0.03237,,,,,,,,,5.14E-05
Chordata,Amphibia,Anura,Rhionphrynidae,Rhinophrynus,Rhinophrynus dorsalis,dorsalis,,1,0.01657,,,,,,,,,3.29E-05
Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,salei,,5,,,,,,,,,,2.51E-07
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,,5,,,,,,,,,,6.31E-08
Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,Ephebopus sp.,sp.,,3,,,,,,,,,,3.82E-07
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus regius,regius,,3,,,,,,,,,,2.75E-07
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,x-notata,,20,0.000039,,,,,,,,,1.22E-06
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,x-notata,,13,0.000029,,,,,,,,,1.36E-06
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena sp.,sp.,female,1,0.0000001,,,,,,,,,4.04E-09
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmenopsis,Mysmenopsis tengellacompa,tengellacompa,female,1,0.0000003,,,,,,,,,1.88E-08
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,simoni,female,1,0.0000008,,,,,,,,,1.32E-08
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,simoni,male,1,0.0000008,,,,,,,,,1.20E-08
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,elevatus,female,1,0.000003,,,,,,,,,3.40E-08
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,elevatus,male,1,0.0000024,,,,,,,,,5.51E-08
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus sp.,sp.,male,1,0.0000027,,,,,,,,,5.57E-08
Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala illicita,illicita,male,1,0.000014,,,,,,,,,
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,mariana,female,1,0.00006,,,,,,,,,1.58E-07
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,mariana,male,1,0.00002,,,,,,,,,1.34E-07
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,argentata,female,1,0.00025,,,,,,,,,3.45E-07
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,female,1,0.002,,,,,,,,,6.63E-07
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,clavipes,male,1,0.0000112,,,,,,,,,1.62E-07
Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,atrica,,10,,,,,,,,,,1.38E-07
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,2.45E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,2.20E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,2.43E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,2.30E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,2.95E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,male,1,,,,,,,,,,2.44E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,2.11E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,3.50E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,4.01E-08
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,spinosa,female,1,,,,,,,,,,2.53E-08
