species,class,order,family,panth_bodymass_g,aa_bodymass_g,kup_AdultMass,AT_bodymass_g,mean_long,diel,logage
Abrocoma_bennettii,Mammalia,Rodentia,Abrocomidae,250.5,NA,265.5,NA,27.6,NOC,3.3178157727231046
Acanthiza_reguloides,Aves,Passeriformes,Acanthizidae,NA,NA,NA,7.4,114,DIU,4.736198448394496
Acanthophis_antarcticus,Reptilia,Squamata,Elapidae,NA,NA,384,NA,111.6,NOC,4.71492104994721
Accipiter_gentilis,Aves,Accipitriformes,Accipitridae,NA,NA,1044.2,NA,264,DIU,5.575949103146316
Acrobates_pygmaeus,Mammalia,Diprotodontia,Acrobatidae,13.84,14,13,8.9,96,NOC,4.564348191467836
Acrocephalus_arundinaceus,Aves,Passeriformes,Acrocephalidae,NA,21.9,30,26.9,121.2,DIU,4.797442073635214
Acrocephalus_palustris,Aves,Passeriformes,Acrocephalidae,NA,10.8,11.5,NA,117.6,DIU,4.767289035464526
Acrocephalus_schoenobaenus,Aves,Passeriformes,Acrocephalidae,NA,11.5,11.8,NA,141.6,DIU,4.953006181259619
Acrocephalus_scirpaceus,Aves,Passeriformes,Acrocephalidae,NA,NA,12.3,NA,202.8,DIU,5.312220271717028
Actinemys_marmorata,Reptilia,Testudines,Emydidae,NA,NA,282,NA,327.6,DIU,5.791793351978915
Actitis_macularius,Aves,Charadriiformes,Scolopacidae,NA,NA,34,NA,144,DIU,4.969813299576001
Aechmophorus_occidentalis,Aves,Podicipediformes,Podicipedidae,NA,NA,1475.5,NA,168,DIU,5.123963979403259
Aegithalos_caudatus,Aves,Passeriformes,Aegithalidae,NA,8.9,8.6,NA,133.2,DIU,4.891851758106289
Aegolius_acadicus,Aves,Strigiformes,Strigidae,NA,124,117.9,NA,210,NOC,5.3471075307174685
Aegotheles_cristatus,Aves,Apodiformes,Aegothelidae,NA,NA,NA,45,70.8,NOC,4.259859000699674
Aepyprymnus_rufescens,Mammalia,Diprotodontia,Potoroidae,2810.31,2820,3250,2256.5,124.8,NOC,4.826712455935327
Aethia_pusilla,Aves,Charadriiformes,Alcidae,NA,NA,96,NA,97.2,DIU,4.576770711466393
Agalychnis_spurrelli,Amphibia,Anura,Phyllomedusidae,NA,NA,NA,NA,66,NOC,4.189654742026425
Agapornis_lilianae,Aves,Psittaciformes,Psittacidae,NA,NA,37.3,NA,230.4,DIU,5.439816928821736
Agapornis_taranta,Aves,Psittaciformes,Psittacidae,NA,NA,57.5,NA,175.2,DIU,5.165928178502291
Agelaius_phoeniceus,Aves,Passeriformes,Icteridae,NA,NA,56.7,NA,240,DIU,5.480638923341991
Agkistrodon_contortrix,Reptilia,Squamata,Viperidae,NA,NA,950,NA,357.6,ARR,5.8794150432993595
Ailuroedus_melanotis,Aves,Passeriformes,Ptilonorhynchidae,NA,NA,NA,NA,124.8,DIU,4.826712455935327
Ailuropoda_melanoleuca,Mammalia,Carnivora,Ursidae,117999.99,NA,117500,NA,400.8,CRE,5.993462549770655
Aix_sponsa,Aves,Anseriformes,Anatidae,NA,448,452.8,NA,270,DIU,5.598421958998375
Alauda_arvensis,Aves,Passeriformes,Alaudidae,NA,31.7,37.5,NA,121.2,DIU,4.797442073635214
Alectura_lathami,Aves,Galliformes,Megapodiidae,NA,NA,2340,2300,150,DIU,5.0106352940962555
Alligator_mississippiensis,Reptilia,Crocodilia,Alligatoridae,NA,1079,150000,134850,924,NOC,6.828712071641684
Alligator_sinensis,Reptilia,Crocodilia,Alligatoridae,NA,NA,10750,NA,780,NOC,6.659293919683638
Amazilia_yucatanensis,Aves,Apodiformes,Trochilidae,NA,NA,3.9,NA,134.4,DIU,4.900820428089049
Ambystoma_gracile,Amphibia,Caudata,Ambystomatidae,NA,NA,NA,NA,122.4,NOC,4.807294370078226
Ambystoma_mexicanum,Amphibia,Caudata,Ambystomatidae,NA,NA,NA,NA,204,NOC,5.318119993844216
Ambystoma_opacum,Amphibia,Caudata,Ambystomatidae,NA,NA,NA,NA,135.6,NOC,4.909709375506295
Ameiva_ameiva,Reptilia,Squamata,Teiidae,NA,NA,68,NA,55.2,DIU,4.01096295328305
Ammodramus_caudacutus,Aves,Passeriformes,Emberizidae,NA,NA,16.5,NA,120,DIU,4.787491742782046
Ammodramus_maritimus,Aves,Passeriformes,Emberizidae,NA,NA,20,NA,108,DIU,4.68213122712422
Ammodramus_nelsoni,Aves,Passeriformes,Emberizidae,NA,NA,15.2,NA,85.2,DIU,4.44500143383527
Ammodramus_savannarum,Aves,Passeriformes,Passerellidae,NA,13.8,17.6,NA,109.2,DIU,4.693181063310805
Amphisbaena_alba,Reptilia,Squamata,Amphisbaenidae,NA,NA,210,NA,181.2,NOC,5.199601393608879
Amphiuma_means,Amphibia,Caudata,Amphiumidae,NA,199,200.967,NA,324,NOC,5.780743515792329
Anas_platyrhynchos,Aves,Anseriformes,Anatidae,NA,1020,1048.1,NA,349.2,DIU,5.855644823965447
Andrias_japonicus,Amphibia,Caudata,Cryptobranchidae,NA,NA,26000,NA,264,NOC,5.575949103146316
Anguis_fragilis,Reptilia,Squamata,Anguidae,NA,NA,11.655,NA,648,DIU,6.473890696352274
Anhinga_anhinga,Aves,Suliformes,Anhingidae,NA,1040,1080,NA,196.8,DIU,5.282187984618153
Anodorhynchus_hyacinthinus,Aves,Psittaciformes,Psittacidae,NA,NA,1330,NA,465.6,DIU,6.1433268964172285
Anodorhynchus_leari,Aves,Psittaciformes,Psittacidae,NA,NA,940,NA,459.6,DIU,6.130356545974601
Anolis_carolinensis,Reptilia,Squamata,Dactyloidae,NA,NA,2.455,NA,86.4,DIU,4.45898767581001
Anous_minutus,Aves,Charadriiformes,Laridae,NA,NA,110.4,100.1,325.2,DIU,5.784440377673656
