"Phylum" "Class" "Order" "Family" "Genus" "Species" "Common Name" "AdultMass" "MaxLife" "LMaxLife" "LAdultMass"
"1" "Chordata" "Amphibia" "Anura" "Bombinatoridae" "Bombina" "bombina" "Firebelly toad" 5.9 20 2.99573227355399 1.77495235091167
"2" "Chordata" "Amphibia" "Anura" "Bombinatoridae" "Bombina" "orientalis" "Oriental firebelly toad" 13.1 15.8 2.76000994003292 2.57261223020711
"3" "Chordata" "Amphibia" "Anura" "Bombinatoridae" "Bombina" "variegata" "Yellow-bellied toad" 6.77 29 3.36729582998647 1.91250108692418
"4" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "americanus" "American toad" 21.7667 36 3.58351893845611 3.08038127900667
"5" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "boreas" "Western toad" NA 11.5 2.4423470353692 NA
"6" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "canorus" "Yosemite toad" NA 15 2.70805020110221 NA
"7" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "cognatus" "Great plains toad" 25 10.7 2.37024374146786 3.2188758248682
"8" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "debilis" "Green toad" NA 12.4 2.51769647261099 NA
"9" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "hemiophrys" "Canadian toad" NA 13.3 2.58776403522771 NA
"10" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "punctatus" "Red-spotted toad" 60 11.3 2.42480272571829 4.0943445622221
"11" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "retiformis" "Sonoran green toad" NA 15.3 2.72785282839839 NA
"12" "Chordata" "Amphibia" "Anura" "Bufonidae" "Anaxyrus" "terrestris" "Southern toad" 19.267 10 2.30258509299405 2.95839378789862
"13" "Chordata" "Amphibia" "Anura" "Bufonidae" "Atelopus" "varius" "Veragoa stubfoot toad" NA 10 2.30258509299405 NA
"14" "Chordata" "Amphibia" "Anura" "Bufonidae" "Bufo" "bufo" "Common European toad" 164.75 40 3.68887945411394 5.10442917338262
"15" "Chordata" "Amphibia" "Anura" "Bufonidae" "Incilius" "alvarius" "Colorado river toad" 237.7 15.4 2.73436750941958 5.47100937436615
"16" "Chordata" "Amphibia" "Anura" "Bufonidae" "Nectophrynoides" "asperginis" "Kihansi spray toad" NA 5 1.6094379124341 NA
"17" "Chordata" "Amphibia" "Anura" "Bufonidae" "Peltophryne" "lemur" "Ridge-headed toad" NA 10.7 2.37024374146786 NA
"18" "Chordata" "Amphibia" "Anura" "Bufonidae" "Peltophryne" "peltocephala" "Cuban toad" NA 20 2.99573227355399 NA
"19" "Chordata" "Amphibia" "Anura" "Bufonidae" "Pseudepidalea" "viridis" "European green toad" 75 11.9 2.47653840011748 4.31748811353631
"20" "Chordata" "Amphibia" "Anura" "Bufonidae" "Rhaebo" "blombergi" "Colombian giant toad" NA 28.7 3.35689712276558 NA
"21" "Chordata" "Amphibia" "Anura" "Bufonidae" "Rhinella" "marina" "Cane toad" 106.25 24.8 3.21084365317094 4.66579480780453
"22" "Chordata" "Amphibia" "Anura" "Bufonidae" "Rhinella" "schneideri" "Eurura toad" 210 15.1 2.71469474382088 5.34710753071747
"23" "Chordata" "Amphibia" "Anura" "Ceratophryidae" "Ceratophrys" "aurita" "Common horned frog" NA 12.8 2.54944517092557 NA
"24" "Chordata" "Amphibia" "Anura" "Ceratophryidae" "Ceratophrys" "calcarata" "Colombian horned frog" NA 15.9 2.76631910922619 NA
"25" "Chordata" "Amphibia" "Anura" "Ceratophryidae" "Ceratophrys" "cornuta" "Amazonian horned frog" 130 10.3 2.33214389523559 4.86753445045558
"26" "Chordata" "Amphibia" "Anura" "Ceratophryidae" "Ceratophrys" "ornata" "Ornate horned frog" NA 14.7 2.68784749378469 NA
